pProb,qProb,replicate,seqLen,aaaa,aaab,aaba,aabb,aabc,abaa,abab,abac,abba,abbb,abbc,abca,abcb,abcc,abcd,label
0.545,0.085,15,1000,0.144,0.221,0.017,0.025,0.031,0.184,0.072,0.15,0.013,0.028,0.023,0.019,0.017,0.034,0.022,0
0.105,0.655,339,1000,0.044,0.083,0.054,0.032,0.06,0.069,0.045,0.103,0.077,0.042,0.096,0.1,0.064,0.059,0.072,0
0.735,0.115,197,1000,0.061,0.152,0.151,0.13,0.278,0.008,0.018,0.028,0.015,0.023,0.025,0.033,0.023,0.028,0.027,1
0.375,0.685,90,1000,0.021,0.039,0.04,0.066,0.066,0.094,0.041,0.059,0.037,0.078,0.062,0.079,0.08,0.167,0.071,1
0.255,0.665,172,1000,0.027,0.023,0.106,0.028,0.048,0.029,0.119,0.065,0.017,0.115,0.055,0.051,0.212,0.053,0.052,1
0.605,0.625,645,1000,0.026,0.048,0.047,0.032,0.09,0.039,0.047,0.1,0.039,0.051,0.095,0.095,0.108,0.096,0.087,1
0.315,0.165,798,1000,0.27,0.063,0.058,0.025,0.025,0.135,0.019,0.031,0.08,0.12,0.043,0.039,0.027,0.056,0.009,0
0.075,0.745,719,1000,0.062,0.007,0.008,0.164,0.02,0.16,0.008,0.028,0.007,0.163,0.017,0.016,0.021,0.312,0.007,1
0.175,0.665,141,1000,0.051,0.014,0.145,0.018,0.037,0.013,0.139,0.046,0.031,0.121,0.037,0.021,0.255,0.036,0.036,1
0.615,0.045,37,1000,0.112,0.013,0.195,0.014,0.017,0.215,0.012,0.014,0.105,0.009,0.014,0.225,0.025,0.019,0.011,0
0.385,0.305,516,1000,0.147,0.078,0.095,0.038,0.046,0.084,0.084,0.07,0.026,0.078,0.048,0.038,0.1,0.036,0.032,1
0.395,0.115,711,1000,0.254,0.041,0.159,0.044,0.035,0.047,0.035,0.024,0.012,0.181,0.022,0.025,0.067,0.038,0.016,0
0.305,0.165,501,1000,0.287,0.132,0.072,0.02,0.017,0.135,0.028,0.04,0.066,0.074,0.038,0.053,0.008,0.022,0.008,0
0.175,0.005,554,1000,0.67,0.002,0.142,0,0,0.147,0.004,0.001,0.008,0.005,0,0.018,0.002,0.001,0,0
0.175,0.245,204,1000,0.297,0.126,0.071,0.014,0.026,0.097,0.017,0.027,0.12,0.082,0.038,0.044,0.014,0.018,0.009,0
0.165,0.105,579,1000,0.509,0.115,0.064,0.004,0.01,0.062,0.009,0.012,0.06,0.097,0.016,0.014,0.014,0.011,0.003,1
0.465,0.525,798,1000,0.046,0.063,0.067,0.07,0.11,0.058,0.039,0.062,0.034,0.059,0.078,0.087,0.066,0.092,0.069,1
0.125,0.225,562,1000,0.37,0.103,0.077,0.008,0.015,0.119,0.115,0.077,0.011,0.045,0.016,0.011,0.021,0.007,0.005,1
0.675,0.205,368,1000,0.076,0.113,0.043,0.033,0.067,0.114,0.083,0.159,0.031,0.032,0.054,0.048,0.049,0.05,0.048,0
0.515,0.685,394,1000,0.024,0.053,0.05,0.051,0.091,0.053,0.074,0.116,0.035,0.031,0.084,0.086,0.098,0.084,0.07,1
0.065,0.365,185,1000,0.241,0.132,0.135,0.028,0.057,0.031,0.011,0.025,0.128,0.041,0.059,0.072,0.015,0.007,0.018,0
0.625,0.525,393,1000,0.023,0.052,0.049,0.05,0.097,0.053,0.049,0.083,0.047,0.047,0.1,0.087,0.087,0.09,0.086,0
0.305,0.475,426,1000,0.077,0.1,0.055,0.034,0.059,0.09,0.092,0.125,0.038,0.052,0.054,0.057,0.065,0.046,0.056,1
0.305,0.035,860,1000,0.438,0.016,0.198,0.022,0.008,0.181,0.004,0.004,0.028,0.021,0.002,0.061,0.005,0.011,0.001,0
0.665,0.105,680,1000,0.079,0.023,0.162,0.012,0.026,0.015,0.117,0.025,0.027,0.158,0.031,0.034,0.22,0.035,0.036,0
0.335,0.405,816,1000,0.091,0.063,0.085,0.026,0.067,0.074,0.082,0.076,0.027,0.096,0.07,0.055,0.098,0.041,0.049,1
0.485,0.715,710,1000,0.019,0.043,0.061,0.03,0.073,0.032,0.069,0.08,0.039,0.06,0.086,0.084,0.121,0.1,0.103,1
0.015,0.115,639,1000,0.681,0.016,0.085,0.002,0.001,0.092,0.079,0.008,0.005,0.009,0,0.01,0.011,0,0.001,0
0.695,0.685,237,1000,0.013,0.041,0.056,0.048,0.105,0.043,0.043,0.09,0.052,0.051,0.098,0.089,0.093,0.094,0.084,1
0.125,0.725,91,1000,0.051,0.017,0.011,0.131,0.029,0.17,0.015,0.034,0.019,0.124,0.028,0.026,0.027,0.291,0.027,1
0.015,0.245,71,1000,0.385,0.009,0.006,0.177,0.003,0.153,0.001,0.005,0.002,0.155,0.002,0.001,0.004,0.096,0.001,1
0.495,0.195,177,1000,0.126,0.161,0.13,0.105,0.139,0.038,0.025,0.033,0.021,0.038,0.037,0.039,0.049,0.032,0.027,1
0.405,0.575,99,1000,0.034,0.098,0.073,0.093,0.154,0.049,0.03,0.065,0.03,0.04,0.064,0.069,0.064,0.082,0.055,1
0.015,0.705,196,1000,0.037,0.06,0.045,0.065,0.086,0.059,0.054,0.109,0.037,0.051,0.076,0.075,0.085,0.098,0.063,0
0.505,0.125,523,1000,0.166,0.045,0.163,0.012,0.03,0.166,0.046,0.037,0.063,0.034,0.022,0.127,0.033,0.029,0.027,0
0.205,0.595,766,1000,0.062,0.056,0.045,0.044,0.059,0.074,0.076,0.108,0.037,0.076,0.066,0.06,0.102,0.083,0.052,0
0.055,0.115,976,1000,0.614,0.05,0.035,0.081,0.009,0.081,0.003,0.004,0.001,0.092,0.003,0.008,0.005,0.014,0,1
0.245,0.175,153,1000,0.303,0.079,0.122,0.092,0.041,0.067,0.02,0.015,0.017,0.116,0.023,0.022,0.023,0.053,0.007,0
0.655,0.325,189,1000,0.04,0.033,0.098,0.033,0.074,0.104,0.028,0.069,0.092,0.042,0.042,0.15,0.07,0.066,0.059,1
0.345,0.085,629,1000,0.326,0.03,0.176,0.032,0.037,0.04,0.038,0.008,0.013,0.174,0.016,0.022,0.059,0.023,0.006,0
0.025,0.035,690,1000,0.855,0.017,0.03,0.038,0.001,0.023,0,0,0,0.035,0,0,0,0.001,0,0
0.255,0.565,27,1000,0.057,0.079,0.054,0.083,0.102,0.054,0.036,0.069,0.038,0.085,0.085,0.064,0.054,0.09,0.05,0
0.595,0.275,540,1000,0.07,0.035,0.029,0.101,0.052,0.119,0.034,0.054,0.035,0.111,0.058,0.043,0.052,0.147,0.06,1
0.105,0.295,611,1000,0.291,0.046,0.138,0.114,0.051,0.121,0.018,0.025,0.021,0.05,0.014,0.034,0.016,0.053,0.008,0
0.355,0.005,656,1000,0.389,0,0.244,0.001,0.001,0.239,0,0.001,0.04,0.003,0,0.082,0,0,0,1
0.405,0.565,242,1000,0.04,0.059,0.057,0.042,0.074,0.046,0.083,0.109,0.039,0.083,0.073,0.054,0.112,0.072,0.057,0
0.675,0.515,225,1000,0.022,0.053,0.051,0.038,0.099,0.045,0.038,0.08,0.054,0.052,0.098,0.119,0.076,0.095,0.08,0
0.475,0.335,79,1000,0.07,0.096,0.056,0.031,0.065,0.096,0.08,0.115,0.038,0.054,0.059,0.08,0.066,0.048,0.046,1
0.715,0.485,978,1000,0.014,0.049,0.071,0.042,0.09,0.049,0.045,0.08,0.063,0.05,0.083,0.082,0.12,0.087,0.075,0
0.105,0.025,841,1000,0.739,0.079,0.02,0.004,0.002,0.086,0.003,0.007,0.019,0.032,0.005,0.002,0.001,0.001,0,0
0.425,0.625,396,1000,0.029,0.054,0.056,0.052,0.128,0.072,0.043,0.082,0.044,0.056,0.079,0.078,0.068,0.09,0.069,0
0.205,0.425,797,1000,0.124,0.058,0.112,0.122,0.083,0.09,0.027,0.045,0.028,0.059,0.046,0.059,0.039,0.078,0.03,0
0.025,0.005,143,1000,0.939,0.031,0.001,0,0,0.023,0,0,0.002,0.004,0,0,0,0,0,0
0.175,0.145,632,1000,0.46,0.102,0.077,0.058,0.03,0.09,0.009,0.019,0.009,0.083,0.013,0.013,0.009,0.022,0.006,0
0.155,0.255,450,1000,0.295,0.05,0.056,0.135,0.038,0.115,0.01,0.024,0.017,0.113,0.017,0.025,0.021,0.074,0.01,1
0.355,0.245,188,1000,0.173,0.078,0.109,0.023,0.041,0.088,0.085,0.046,0.019,0.127,0.037,0.046,0.087,0.026,0.015,1
0.195,0.085,817,1000,0.533,0.123,0.047,0.005,0.008,0.036,0.006,0.008,0.056,0.118,0.034,0.01,0.009,0.007,0,1
0.555,0.185,824,1000,0.095,0.162,0.03,0.025,0.035,0.154,0.1,0.175,0.022,0.033,0.038,0.028,0.033,0.042,0.028,1
0.435,0.105,529,1000,0.231,0.026,0.19,0.015,0.017,0.02,0.069,0.017,0.015,0.191,0.024,0.026,0.126,0.019,0.014,1
0.245,0.465,924,1000,0.083,0.054,0.089,0.098,0.108,0.049,0.046,0.044,0.024,0.083,0.049,0.062,0.077,0.098,0.036,0
0.125,0.265,788,1000,0.293,0.124,0.095,0.023,0.033,0.068,0.122,0.058,0.014,0.054,0.019,0.02,0.045,0.012,0.02,0
0.075,0.715,562,1000,0.063,0.011,0.006,0.172,0.012,0.157,0.011,0.019,0.008,0.144,0.02,0.02,0.012,0.332,0.013,1
0.465,0.445,500,1000,0.059,0.073,0.061,0.049,0.06,0.082,0.037,0.069,0.093,0.063,0.088,0.1,0.06,0.049,0.057,0
0.035,0.475,496,1000,0.133,0.13,0.113,0.045,0.065,0.038,0.129,0.086,0.015,0.035,0.025,0.036,0.09,0.028,0.032,0
0.285,0.285,175,1000,0.179,0.107,0.08,0.019,0.028,0.084,0.022,0.037,0.119,0.098,0.073,0.064,0.03,0.034,0.026,1
0.485,0.305,816,1000,0.094,0.05,0.055,0.039,0.03,0.108,0.041,0.051,0.073,0.11,0.087,0.073,0.062,0.087,0.04,0
0.585,0.265,77,1000,0.07,0.115,0.102,0.046,0.116,0.059,0.046,0.079,0.035,0.038,0.058,0.064,0.066,0.05,0.056,0
0.345,0.265,886,1000,0.174,0.075,0.09,0.02,0.046,0.111,0.027,0.038,0.094,0.059,0.064,0.1,0.039,0.039,0.024,1
0.725,0.535,411,1000,0.024,0.047,0.054,0.043,0.077,0.051,0.051,0.088,0.052,0.061,0.085,0.101,0.092,0.088,0.086,0
0.225,0.655,105,1000,0.049,0.033,0.097,0.031,0.042,0.03,0.113,0.042,0.021,0.126,0.045,0.034,0.238,0.048,0.051,1
0.055,0.245,689,1000,0.382,0.121,0.032,0.006,0.009,0.139,0.023,0.029,0.13,0.03,0.035,0.039,0.007,0.013,0.005,0
0.105,0.005,950,1000,0.806,0.085,0.006,0.005,0,0.082,0.004,0.006,0.001,0.005,0,0,0,0,0,0
0.265,0.015,78,1000,0.514,0.011,0.012,0.027,0.001,0.197,0.001,0.008,0.002,0.178,0.002,0.001,0.002,0.044,0,1
0.165,0.345,503,1000,0.224,0.046,0.134,0.016,0.027,0.053,0.111,0.031,0.022,0.113,0.029,0.025,0.118,0.027,0.024,1
0.005,0.245,116,1000,0.413,0.147,0.001,0.001,0,0.187,0.147,0.1,0.001,0,0.001,0,0.002,0,0,1
0.415,0.295,719,1000,0.139,0.072,0.1,0.031,0.042,0.106,0.081,0.085,0.034,0.071,0.04,0.054,0.064,0.055,0.026,0
0.505,0.505,532,1000,0.035,0.06,0.067,0.078,0.085,0.066,0.051,0.071,0.03,0.071,0.069,0.07,0.085,0.103,0.059,1
0.725,0.725,602,1000,0.018,0.044,0.052,0.062,0.1,0.048,0.05,0.095,0.032,0.031,0.086,0.1,0.089,0.093,0.1,0
0.225,0.295,578,1000,0.209,0.078,0.082,0.106,0.053,0.097,0.019,0.038,0.019,0.107,0.029,0.033,0.027,0.089,0.014,1
0.225,0.395,187,1000,0.139,0.114,0.135,0.114,0.122,0.042,0.024,0.028,0.024,0.051,0.038,0.038,0.037,0.058,0.036,1
0.115,0.405,834,1000,0.183,0.015,0.039,0.151,0.026,0.143,0.009,0.023,0.009,0.165,0.02,0.018,0.019,0.162,0.018,1
0.195,0.345,838,1000,0.167,0.138,0.057,0.024,0.034,0.059,0.025,0.029,0.111,0.108,0.105,0.056,0.027,0.032,0.028,1
0.535,0.295,249,1000,0.083,0.055,0.056,0.039,0.06,0.098,0.033,0.057,0.081,0.094,0.081,0.085,0.055,0.083,0.04,0
0.565,0.105,157,1000,0.129,0.199,0.186,0.067,0.153,0.035,0.038,0.032,0.012,0.023,0.018,0.022,0.045,0.024,0.017,0
0.165,0.245,337,1000,0.278,0.078,0.099,0.122,0.059,0.067,0.013,0.021,0.014,0.108,0.019,0.026,0.038,0.046,0.012,0
0.705,0.305,536,1000,0.042,0.046,0.076,0.029,0.074,0.039,0.072,0.068,0.041,0.081,0.068,0.081,0.134,0.081,0.068,0
0.195,0.205,308,1000,0.32,0.093,0.095,0.021,0.017,0.086,0.117,0.035,0.02,0.082,0.017,0.025,0.043,0.021,0.008,0
0.365,0.215,538,1000,0.194,0.116,0.071,0.032,0.034,0.096,0.095,0.098,0.022,0.072,0.027,0.047,0.043,0.03,0.023,1
0.655,0.515,135,1000,0.024,0.073,0.039,0.042,0.075,0.05,0.045,0.093,0.066,0.059,0.11,0.065,0.092,0.083,0.084,1
0.735,0.405,1000,1000,0.013,0.054,0.049,0.03,0.082,0.055,0.059,0.125,0.05,0.038,0.091,0.085,0.071,0.096,0.102,0
0.715,0.575,20,1000,0.018,0.059,0.055,0.055,0.108,0.05,0.046,0.102,0.047,0.037,0.1,0.079,0.086,0.084,0.074,1
0.245,0.075,745,1000,0.429,0.167,0.031,0.011,0.011,0.045,0.006,0.012,0.052,0.158,0.048,0.008,0.009,0.01,0.003,1
0.365,0.545,90,1000,0.051,0.07,0.057,0.038,0.059,0.082,0.039,0.06,0.075,0.061,0.105,0.098,0.055,0.088,0.062,0
0.135,0.105,899,1000,0.55,0.057,0.086,0.006,0.009,0.098,0.064,0.019,0.004,0.076,0.003,0.008,0.01,0.009,0.001,0
0.475,0.035,768,1000,0.274,0.013,0.009,0.081,0.006,0.223,0.003,0.005,0.01,0.201,0.01,0.006,0.006,0.149,0.004,1
0.395,0.115,123,1000,0.251,0.161,0.031,0.055,0.03,0.046,0.017,0.027,0.037,0.18,0.077,0.012,0.024,0.034,0.018,0
0.265,0.475,136,1000,0.071,0.045,0.105,0.03,0.052,0.104,0.03,0.038,0.122,0.053,0.073,0.141,0.05,0.039,0.047,1
0.595,0.125,642,1000,0.114,0.022,0.031,0.075,0.029,0.173,0.031,0.046,0.019,0.157,0.026,0.034,0.049,0.161,0.033,0
0.665,0.205,65,1000,0.065,0.027,0.131,0.024,0.033,0.013,0.099,0.044,0.029,0.156,0.046,0.042,0.209,0.046,0.036,1
0.215,0.555,546,1000,0.048,0.03,0.027,0.124,0.043,0.116,0.025,0.053,0.025,0.133,0.047,0.049,0.032,0.211,0.037,1
0.505,0.425,657,1000,0.044,0.066,0.069,0.033,0.058,0.079,0.078,0.075,0.037,0.063,0.093,0.074,0.091,0.073,0.067,0
0.405,0.495,37,1000,0.048,0.06,0.071,0.047,0.08,0.071,0.034,0.062,0.089,0.057,0.087,0.117,0.067,0.056,0.054,1
0.625,0.455,309,1000,0.032,0.047,0.073,0.035,0.067,0.039,0.083,0.087,0.044,0.073,0.08,0.071,0.127,0.069,0.073,1
